firstname_str15_ornull|lastname_str15_ornull|pseudo_15|password_str15|email_str50|description_str140_ornull|
Michael|Jordan|MJ|random23|Jordan@gmail.com|I played for the Chicago bulls. I am 6 times NBA champions. I'm all around threat.|
Allen|Iverson|AI|random3|Iverson@gmail.com|I played for the Philadelphia 76ers. I am the 2001 MVP. I am an icon.|
Kobe|Bryant|KOBE|random24|Bryant@gmail.com||
James|Harden|THEBEARD|random13|Harden@gmail.com|I played for the Houston Rockets. I am the 2018 MVP. I am in another dimension.|
Lebron|James|KING|random23|James@gmail.com||
Kevin|Durant|KD|random35|Durant@gmail.com||
Kyrie|Irving|KYRIE|random11|Irving@gmail.com||
Stephen|Curry|STEPH|random30|Curry@gmail.com||
Damian|Lillard|DAME|random00|Lillard@gmail.com||
Joel|Embiid|PROCESS|random21|Embiid@gmail.com||
Giannis|Antetokounmpo|GREAKFREAK|random34|Antetokounmpo@gmail.com||
Donovan|Mitchell|SPIDA|random45|Mitchell@gmail.com||
Jason|Tatum|JAYT|random00|Tatum@gmail.com||
